ID,Example,Title,Author,Institution,Link,LinkIsAccesible,Included_Excluded,Reason for Exclusion (if applicable),Date Accessed,Date Created,Accountable Person,Summary (will be generated using AI),Subject of Resource (Archived),Type of Resource (Archived),Resource Subject (Modified),Resource Type (Modified),Resource Format (Modified),Sector,Level,Discipline (Archived),Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture,Miscellaneous Themes,Evaluated in Resource,Evaluation Link,Evalution Methods,Outcomes Measured,EDI Intervention Readiness Level,EDI Intervention Readiness (Archive)
73,,Majority Allies,Royal Academy of Engineering ,Royal Academy of Engineering ,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,"Strategies, policies or processes",Toolkit,Informational,Guidance Resources,Webpage,Not-for-profit,Learned Society,Engineering,Not Specified,,," Belonging Initiatives, Allyship & Advocacy",,No,,,,Not applicable,Pilot in single setting
74,,Concordat To Support the Career Development of Researchers,Vitae,Vitae,https://www.vitae.ac.uk/policy/concordat,Available,Excluded,"Not specifically related to individual characteristics, or EDI",2026-02-05 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
75,,Challenging Different Forms of Bias in EPS Research,University of Birmingham,University of Birmingham,https://gow.epsrc.ukri.org/NGBOViewGrant.aspx?GrantRef=EP/S011927/1,Page not found,Excluded,Page not found.,2026-02-05 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
76,Example,Promoting EDI In University Spinout Companies,Oxford Brookes University,Oxford Brookes University,https://www.brookes.ac.uk/Research/Units/OBBS/Projects/Women-and-Spinouts/,Available,Included  ,,2026-02-05 00:00:00,2021-08-01 00:00:00,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Multiple Universities/Organisations,EPS - general,Sex," Barrier Removal,  Equitable Opportunities, Development Opportunities",,,,Yes,https://www.ukri.org/wp-content/uploads/2023/04/EPSRC-130423-CollectionOutcomesOutputsEPSRCInclusionMattersPortfolioReport.pdf,,,Scaling,Scaling
77,,Ideas Impact Hub,Northern Accelerator,Northern Accelerator,https://northernaccelerator.org/ideas-impact-hub/,Available,Excluded,Intervention for general audience,2025-04-28 00:00:00,,Anna Linton,,,,,,,,,,, Career Development,,,,,,,,,
78,,Guidance For Managing Fixed-Term Contracts,Kings College London ,Kings College London ,https://www.kcl.ac.uk/policyhub/fixed-term-contracts-guidance,Available,Excluded,Intervention for general audience,2025-04-28 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
79,,Inclusive Cultures Toolkit,Royal Academy of Engineering,Royal Academy of Engineering,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Framework,Toolkit,Informational,Guidance Resources,Webpage,Academia,Learned Society,Engineering,Not Specified," Career Progression, Recruitment Strategies, Mentorship & Sponsorship, Diverse Leadership",,"Diverse Representation, Policy Review & Reform, Employee Resource Groups, Cultural Competency",,No,,,,Pilot in single setting,Pilot in single setting
80,,Research Fellowships,Royal Academy of Engineering,Royal Academy of Engineering,"https://www.raeng.org.uk/grants-prizes/grants/support-for-research/raeng-research-fellowship?dm_i=4S2P,JECP,24GQFK,2B8EM,1",Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Grants,Webpage,Grant & Award,Informational Resource,Webpage,Academia,Learned Society,Engineering,Career Stage,Career Progression," Application Support, Securing Funding",,,No,,,,Scaling,Scaling
81,,Research Chairs and Senior Research Fellowship,Royal Academy of Engineering ,Royal Academy of Engineering ,https://www.raeng.org.uk/grants-prizes/grants/support-for-research/research-chairs?dm_i,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Programme,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Learned Society,Engineering,Career Stage, Leadership Development," Application Support, Securing Funding",,,No,,,,Scaling,Scaling
82,,Mentoring And Political Education Programme,Fabian Women’s Network,Fabian Women’s Network,https://www.fabianwomen.org.uk/mentoring,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Programme,Webpage,Programme or Initiative,Informational Resource,Webpage,Government,Single University/Organisation,Non-EPS,Sex," Mentorship & Sponsorship, Career Progression",,,,Yes,https://www.fabianwomen.org.uk/mentoring,"Monitoring, Survey, Focus Group",Career Progression,Pilot in single setting,Pilot in single setting
